Timestep;Y;M;D;H;AvgOfRealTime
770;2015;2;21;1;10076.50
771;2015;2;21;2;9574.75
772;2015;2;21;3;9327.25
773;2015;2;21;4;9261.50
774;2015;2;21;5;9254.50
775;2015;2;21;6;9568.25
776;2015;2;21;7;9700.50
777;2015;2;21;8;10120.75
778;2015;2;21;9;10688.25
779;2015;2;21;10;10930.75
780;2015;2;21;11;11167.75
781;2015;2;21;12;11104.50
782;2015;2;21;13;11007.50
783;2015;2;21;14;10810.75
784;2015;2;21;15;10730.75
785;2015;2;21;16;10806.25
786;2015;2;21;17;11087.75
787;2015;2;21;18;11587.50
788;2015;2;21;19;11539.50
789;2015;2;21;20;11014.00
790;2015;2;21;21;10486.75
791;2015;2;21;22;10705.00
792;2015;2;21;23;10880.25
793;2015;2;22;0;10371.25
794;2015;2;22;1;9932.50
795;2015;2;22;2;9438.75
796;2015;2;22;3;9160.25
797;2015;2;22;4;9067.50
798;2015;2;22;5;9057.75
799;2015;2;22;6;9207.25
800;2015;2;22;7;9192.50
801;2015;2;22;8;9483.00
802;2015;2;22;9;10058.25
803;2015;2;22;10;10408.50
804;2015;2;22;11;10635.00
805;2015;2;22;12;10635.25
806;2015;2;22;13;10248.00
807;2015;2;22;14;9933.50
808;2015;2;22;15;9760.75
809;2015;2;22;16;9651.25
810;2015;2;22;17;10019.75
811;2015;2;22;18;10974.75
812;2015;2;22;19;11213.75
813;2015;2;22;20;10824.50
814;2015;2;22;21;10286.50
815;2015;2;22;22;10443.00
816;2015;2;22;23;10409.75
817;2015;2;23;0;9846.75
818;2015;2;23;1;9460.50
819;2015;2;23;2;9085.50
820;2015;2;23;3;8856.25
821;2015;2;23;4;9020.25
822;2015;2;23;5;9606.25
823;2015;2;23;6;10940.50
824;2015;2;23;7;11929.25
825;2015;2;23;8;12071.25
826;2015;2;23;9;12317.75
827;2015;2;23;10;12277.25
828;2015;2;23;11;12332.50
829;2015;2;23;12;11968.00
830;2015;2;23;13;12092.25
831;2015;2;23;14;11972.75
832;2015;2;23;15;11949.50
833;2015;2;23;16;11900.50
834;2015;2;23;17;12094.75
835;2015;2;23;18;12741.25
836;2015;2;23;19;12686.50
837;2015;2;23;20;11980.25
838;2015;2;23;21;11334.50
839;2015;2;23;22;11480.75
840;2015;2;23;23;11371.00
841;2015;2;24;0;10660.25
842;2015;2;24;1;10208.00
843;2015;2;24;2;9827.00
844;2015;2;24;3;9588.00
845;2015;2;24;4;9672.75
846;2015;2;24;5;10036.25
847;2015;2;24;6;11252.75
848;2015;2;24;7;12039.25
849;2015;2;24;8;12181.75
850;2015;2;24;9;12473.00
851;2015;2;24;10;12584.50
852;2015;2;24;11;12635.00
853;2015;2;24;12;12358.75
854;2015;2;24;13;12284.50
855;2015;2;24;14;12171.50
856;2015;2;24;15;12044.00
857;2015;2;24;16;11981.00
858;2015;2;24;17;12098.00
859;2015;2;24;18;12593.50
860;2015;2;24;19;12638.75
861;2015;2;24;20;12037.00
862;2015;2;24;21;11433.25
863;2015;2;24;22;11585.75
864;2015;2;24;23;11449.00
